Loaded your LOCAL configuration at [/home/superset/superset/superset_config.py]
Endpoint                                         Methods    Rule                                                                                 
-----------------------------------------------  ---------  -------------------------------------------------------------------------------------
AdvancedDataTypeRestApi.get                      GET        /api/v1/advanced_data_type/convert                                                   
AdvancedDataTypeRestApi.get_types                GET        /api/v1/advanced_data_type/types                                                     
AlertView.list                                   GET        /alert/list/                                                                         
AlertView.log                                    GET        /alert/<pk>/log/                                                                     
AnnotationLayerRestApi.bulk_delete               DELETE     /api/v1/annotation_layer/                                                            
AnnotationLayerRestApi.delete                    DELETE     /api/v1/annotation_layer/<int:pk>                                                    
AnnotationLayerRestApi.get                       GET        /api/v1/annotation_layer/<int:pk>                                                    
AnnotationLayerRestApi.get_list                  GET        /api/v1/annotation_layer/                                                            
AnnotationLayerRestApi.info                      GET        /api/v1/annotation_layer/_info                                                       
AnnotationLayerRestApi.post                      POST       /api/v1/annotation_layer/                                                            
AnnotationLayerRestApi.put                       PUT        /api/v1/annotation_layer/<int:pk>                                                    
AnnotationLayerRestApi.related                   GET        /api/v1/annotation_layer/related/<column_name>                                       
AnnotationLayerView.get                          GET        /annotationlayer/<int:pk>/annotation                                                 
AnnotationLayerView.list                         GET        /annotationlayer/list/                                                               
AnnotationRestApi.bulk_delete                    DELETE     /api/v1/annotation_layer/<int:pk>/annotation/                                        
AnnotationRestApi.delete                         DELETE     /api/v1/annotation_layer/<int:pk>/annotation/<int:annotation_id>                     
AnnotationRestApi.get                            GET        /api/v1/annotation_layer/<int:pk>/annotation/<int:annotation_id>                     
AnnotationRestApi.get_list                       GET        /api/v1/annotation_layer/<int:pk>/annotation/                                        
AnnotationRestApi.info                           GET        /api/v1/annotation_layer/_info                                                       
AnnotationRestApi.post                           POST       /api/v1/annotation_layer/<int:pk>/annotation/                                        
AnnotationRestApi.put                            PUT        /api/v1/annotation_layer/<int:pk>/annotation/<int:annotation_id>                     
Api.query                                        POST       /api/v1/query/                                                                       
Api.query_form_data                              GET        /api/v1/form_data/                                                                   
Api.time_range                                   GET        /api/v1/time_range/                                                                  
AsyncEventsRestApi.events                        GET        /api/v1/async_event/                                                                 
AuthDBView.login                                 GET, POST  /login/                                                                              
AuthDBView.logout                                GET        /logout/                                                                             
AvailableDomainsRestApi.get                      GET        /api/v1/available_domains/                                                           
CacheRestApi.invalidate                          POST       /api/v1/cachekey/invalidate                                                          
ChartDataRestApi.data                            POST       /api/v1/chart/data                                                                   
ChartDataRestApi.data_from_cache                 GET        /api/v1/chart/data/<cache_key>                                                       
ChartDataRestApi.get_data                        GET        /api/v1/chart/<int:pk>/data/                                                         
ChartRestApi.add_favorite                        POST       /api/v1/chart/<pk>/favorites/                                                        
ChartRestApi.bulk_delete                         DELETE     /api/v1/chart/                                                                       
ChartRestApi.cache_screenshot                    GET        /api/v1/chart/<pk>/cache_screenshot/                                                 
ChartRestApi.delete                              DELETE     /api/v1/chart/<pk>                                                                   
ChartRestApi.export                              GET        /api/v1/chart/export/                                                                
ChartRestApi.favorite_status                     GET        /api/v1/chart/favorite_status/                                                       
ChartRestApi.get                                 GET        /api/v1/chart/<int:pk>                                                               
ChartRestApi.get_list                            GET        /api/v1/chart/                                                                       
ChartRestApi.import_                             POST       /api/v1/chart/import/                                                                
ChartRestApi.info                                GET        /api/v1/chart/_info                                                                  
ChartRestApi.post                                POST       /api/v1/chart/                                                                       
ChartRestApi.put                                 PUT        /api/v1/chart/<pk>                                                                   
